,Job Title,Company,Location,Salary,Search Term,lower_sal_val,upper_sal_val,mean salary,median_bool,state,60_perc_bool,70_perc_bool,75_perc_bool,90_perc_bool
527,Environmental Protection Project Manager,    DEPT OF PARKS &amp; RECREATION,"Manhattan, NY",70286 - 81000,"Roseland, NJ",70286,81000,75643.0,False,'NY',False,False,False,False
528,NLP Scientist-R&amp;D,        WSI Nationwide,"New York, NY",100000 - 180000,"Roseland, NJ",100000,180000,140000.0,True,'NY',True,False,False,False
529,Front Desk Quantitative Analyst,        Huxley Associates,"New York, NY 10020 (Midtown area)",150000,"Roseland, NJ",150000,150000,150000.0,True,'NY',True,True,True,False
530,City Research Scientist,    DEPT OF ENVIRONMENT PROTECTION,"New York, NY",70286 - 88213,"Roseland, NJ",70286,88213,79249.5,False,'NY',False,False,False,False
531,Data Analyst,        POLICE DEPARTMENT,"New York, NY",70286 - 88213,"Roseland, NJ",70286,88213,79249.5,False,'NY',False,False,False,False
532,Quantitative Analyst for Global Quant Fund,    Averity,"New York, NY",150000 - 300000,"Roseland, NJ",150000,300000,225000.0,True,'NY',True,True,True,True
533,Senior Systematic Quantitative Analyst - Multi-billion Dolla...,    Averity,"New York, NY",180000 - 220000,"Roseland, NJ",180000,220000,200000.0,True,'NY',True,True,True,True
534,CLINICAL RESEARCH SCIENTIST,    The Veritas Healthcare Solutions LLC.,"Bridgewater, NJ",120000,"Roseland, NJ",120000,120000,120000.0,True,'NJ',False,False,False,False
535,"Quantitative Business Analyst, AVP - NYC",        Huxley Associates,"New York, NY 10020 (Midtown area)",135000,"Roseland, NJ",135000,135000,135000.0,True,'NY',True,False,False,False
536,Senior Quantitative Financial Analyst-Audit Model Risk,    Access Staffing LLC,"New York, NY 10017 (Midtown area)",140000 - 200000,"Roseland, NJ",140000,200000,170000.0,True,'NY',True,True,True,False
537,Project Manager,        HRA/DEPT OF SOCIAL SERVICES,"Manhattan, NY",70286 - 83000,"Roseland, NJ",70286,83000,76643.0,False,'NY',False,False,False,False
538,Field Scientist,    DEPT OF PARKS &amp; RECREATION,"Manhattan, NY",59000 - 65000,"Roseland, NJ",59000,65000,62000.0,False,'NY',False,False,False,False
539,"Panel Maintenance Analyst, World Trade Center Health Registr...",        DEPT OF HEALTH/MENTAL HYGIENE,"Manhattan, NY",59708 - 72246,"Roseland, NJ",59708,72246,65977.0,False,'NY',False,False,False,False
540,Field Scientist,        Miller Advertising,"New York, NY",59000 - 65000,"Roseland, NJ",59000,65000,62000.0,False,'NY',False,False,False,False
541,Compliance Team Leader,        DEPT. OF HOMELESS SERVICES,"Manhattan, NY",78630 - 103332,"Roseland, NJ",78630,103332,90981.0,False,'NY',False,False,False,False
542,Policy Data Analyst,        DEPARTMENT OF FINANCE,"Manhattan, NY",68239 - 80000,"Roseland, NJ",68239,80000,74119.5,False,'NY',False,False,False,False
543,Environmental Permits Coordinator,    DEPT OF PARKS &amp; RECREATION,"Manhattan, NY",59708 - 72246,"Roseland, NJ",59708,72246,65977.0,False,'NY',False,False,False,False
544,Postdoctoral Fellow,        Icahn School of Medicine at Mount Sinai,"New York, NY",55000,"Roseland, NJ",55000,55000,55000.0,False,'NY',False,False,False,False
545,Marketing Research Analyst/Consumer Insights Analyst,        The Forum Group,"New York, NY 10016 (Gramercy area)",45000 - 65000,"Roseland, NJ",45000,65000,55000.0,False,'NY',False,False,False,False
546,"Manager, Client Strategy",    DemystData,"New York, NY",75000 - 110000,"Roseland, NJ",75000,110000,92500.0,False,'NY',False,False,False,False
547,Remote Statistical Programmer,        Clark Davis Associates,"Bridgewater, NJ",150000,"Princeton, NJ",150000,150000,150000.0,True,'NJ',True,True,True,False
548,Senior Formulation Scientist,    Sterling Hoffman Executive Search,"Trenton, NJ",120000,"Princeton, NJ",120000,120000,120000.0,True,'NJ',False,False,False,False
549,Junior SAS Programmer or Statistical Analyst,    Best High Technologies LLC,"Princeton, NJ 08540",60000,"Princeton, NJ",60000,60000,60000.0,False,'NJ',False,False,False,False
550,"Associate Director, MS&amp;T Downstream",        Bristol Myers-Squibb,"Hopewell, NJ",130000,"Princeton, NJ",130000,130000,130000.0,True,'NJ',True,False,False,False
551,CLINICAL RESEARCH SCIENTIST,    The Veritas Healthcare Solutions LLC.,"Bridgewater, NJ",120000,"Princeton, NJ",120000,120000,120000.0,True,'NJ',False,False,False,False
552,Research Scientist,"    Solidia Technologies, Inc.","Piscataway, NJ 08854",70000 - 140000,"Princeton, NJ",70000,140000,105000.0,False,'NJ',False,False,False,False
553,Portfolio Research Analyst,        Liberty Personnel Services,"East Brunswick, NJ",110000 - 140000,"Princeton, NJ",110000,140000,125000.0,True,'NJ',False,False,False,False
554,Scientist #2 (Gel Electrophoresis),    Apex Life Sciences,"Township of Franklin, NJ",65000 - 73000,"Princeton, NJ",65000,73000,69000.0,False,'NJ',False,False,False,False
555,Senior Manager Statistical Programming,    FPC Atlanta,"Bridgewater, NJ",150000,"Princeton, NJ",150000,150000,150000.0,True,'NJ',True,True,True,False
556,Sr. Scientist #2,    Apex Life Sciences,"Township of Franklin, NJ",100000 - 110000,"Princeton, NJ",100000,110000,105000.0,False,'NJ',False,False,False,False
557,Applied Statistician,"        Advance Services, Inc.","Creve Coeur, MO",55000 - 75000,"St. Louis, MO",55000,75000,65000.0,False,'MO',False,False,False,False
558,"Director, Data Analysis",    The McManness Group,"St. Louis, MO",120000 - 160000,"St. Louis, MO",120000,160000,140000.0,True,'MO',True,False,False,False
559,Statistical Data Analyst - Pathology &amp; Immunology,        Washington University in St. Louis,"St. Louis, MO",47476 - 57657,"St. Louis, MO",47476,57657,52566.5,False,'MO',False,False,False,False
560,Staff Scientist - The Genome Institute,        Washington University in St. Louis,"St. Louis, MO",47476 - 60715,"St. Louis, MO",47476,60715,54095.5,False,'MO',False,False,False,False
561,Clinical Research Data Analyst - Pediatrics Computing Facili...,        Washington University in St. Louis,"St. Louis, MO",53206 - 69160,"St. Louis, MO",53206,69160,61183.0,False,'MO',False,False,False,False
562,Clinical Informaticist I - Siteman Cancer Center,        Washington University in St. Louis,"St. Louis, MO",48318 - 61609,"St. Louis, MO",48318,61609,54963.5,False,'MO',False,False,False,False
563,Staff Scientist - Biochemistry &amp; Molec Biophysic,        Washington University in St. Louis,"St. Louis, MO",47476 - 60715,"St. Louis, MO",47476,60715,54095.5,False,'MO',False,False,False,False
564,Research Scientist I,        Washington University in St. Louis,"St. Louis, MO",47476 - 60715,"St. Louis, MO",47476,60715,54095.5,False,'MO',False,False,False,False
565,Staff Scientist - Biochemistry &amp; Molecular Biophysics,        Washington University in St. Louis,"St. Louis, MO",47476 - 60715,"St. Louis, MO",47476,60715,54095.5,False,'MO',False,False,False,False
566,Senior Scientist - Psychiatry,        Washington University in St. Louis,"St. Louis, MO",48496 - 65481,"St. Louis, MO",48496,65481,56988.5,False,'MO',False,False,False,False
567,Staff Scientist - Ophthalmology &amp; Visual Science,        Washington University in St. Louis,"St. Louis, MO",47476 - 60715,"St. Louis, MO",47476,60715,54095.5,False,'MO',False,False,False,False
